Grupo 1,Grupo 2,Grupo 3,Grupo 4,Grupo 5
2RY009022,2RY009022,2RY009022,2RY009022,2RY009022
2RY009023,2RY009023,2RY009023,2RY009023,2RY009023
2RY009024,2RY009024,2RY009024,2RY009024,2RY009024
2RY009025,2RY009025,2RY009025,2RY009025,2RY009025
2RY009026,2RY009026,2RY009026,2RY009026,2RY009026
2RY009027,2RY009027,2RY009027,2RY009027,2RY009027
2RY009028,2RY009028,2RY009028,2RY009028,2RY009028
2RY009029,2RY009029,2RY009029,2RY009029,2RY009029
2RY009030,2RY009030,2RY009030,2RY009030,2RY009030
2RY009031,2RY009031,2RY009031,2RY009031,2RY009031
2RY009032,2RY009032,2RY009032,2RY009032,2RY009032
2RY009033,2RY009033,2RY009033,2RY009033,2RY009033
2RY009034,2RY009034,2RY009034,2RY009034,2RY009034
2RY009035,2RY009035,2RY009035,2RY009035,2RY009035
2RY009036,2RY009036,2RY009036,2RY009036,2RY009036
2RY009037,2RY009037,2RY009037,2RY009037,2RY009037
2RY010001,2RY010001,2RY010001,2RY010001,2RY010001
2RY010002,2RY010002,2RY010002,2RY010002,2RY010002
2RY010003,2RY010003,2RY010003,2RY010003,2RY010003
2RY010004,2RY010004,2RY010004,2RY010004,2RY010004
2RY010005,2RY010005,2RY010005,2RY010005,2RY010005
2RY010006,2RY010006,2RY010006,2RY010006,2RY010006
2RY010007,2RY010007,2RY010007,2RY010007,2RY010007
2RY010008,2RY010008,2RY010008,2RY010008,2RY010008
2RY010009,2RY010009,2RY010009,2RY010009,2RY010009
2RY010010,2RY010010,2RY010010,2RY010010,2RY010010
2RY010011,2RY010011,2RY010011,2RY010011,2RY010011
2RY010012,2RY010012,2RY010012,2RY010012,2RY010012
2RY010013,2RY010013,2RY010013,2RY010013,2RY010013
2RY010014,2RY010014,2RY010014,2RY010014,2RY010014
2RY010015,2RY010015,2RY010015,2RY010015,2RY010015
2RY010016,2RY010016,2RY010016,2RY010016,2RY010016
2RY010017,2RY010017,2RY010017,2RY010017,2RY010017
2RY010018,2RY010018,2RY010018,2RY010018,2RY010018
2RY010019,2RY010019,2RY010019,2RY010019,2RY010019
2RY010020,2RY010020,2RY010020,2RY010020,2RY010020
2RY010021,2RY010021,2RY010021,2RY010021,2RY010021
2RY010022,2RY010022,2RY010022,2RY010022,2RY010022
2RY010023,2RY010023,2RY010023,2RY010023,2RY010023
2RY010024,2RY010024,2RY010024,2RY010024,2RY010024
2RY010025,2RY010025,2RY010025,2RY010025,2RY010025
2RY010026,2RY010026,2RY010026,2RY010026,2RY010026
2RY010027,2RY010027,2RY010027,2RY010027,2RY010027
2RY010028,2RY010028,2RY010028,2RY010028,2RY010028
2RY010029,2RY010029,2RY010029,2RY010029,2RY010029
2RY010030,2RY010030,2RY010030,2RY010030,2RY010030
2RY010031,2RY010031,2RY010031,2RY010031,2RY010031
2RY010032,2RY010032,2RY010032,2RY010032,2RY010032
2RY010033,2RY010033,2RY010033,2RY010033,2RY010033
2RY010034,2RY010034,2RY010034,2RY010034,2RY010034
2RY010035,2RY010035,2RY010035,2RY010035,2RY010035
2RY010036,2RY010036,2RY010036,2RY010036,
2RY011001,2RY011001,2RY011001,2RY011001,2RY011001
2RY011002,2RY011002,2RY011002,2RY011002,2RY011002
2RY011003,2RY011003,2RY011003,2RY011003,2RY011003
2RY011004,2RY011004,2RY011004,2RY011004,2RY011004
2RY011005,2RY011005,2RY011005,2RY011005,2RY011005
2RY011006,2RY011006,2RY011006,2RY011006,2RY011006
2RY011007,2RY011007,2RY011007,2RY011007,2RY011007
2RY011008,2RY011008,2RY011008,2RY011008,2RY011008
2RY011009,2RY011009,2RY011009,2RY011009,2RY011009
2RY011010,2RY011010,2RY011010,2RY011010,2RY011010
2RY011011,2RY011011,2RY011011,2RY011011,2RY011011
2RY011012,2RY011012,2RY011012,2RY011012,2RY011012
2RY011013,2RY011013,2RY011013,2RY011013,2RY011013
2RY011014,2RY011014,2RY011014,2RY011014,2RY011014
2RY011015,2RY011015,2RY011015,2RY011015,2RY011015
2RY011016,2RY011016,2RY011016,2RY011016,2RY011016
2RY011017,2RY011017,2RY011017,2RY011017,2RY011017
2RY011018,2RY011018,2RY011018,2RY011018,2RY011018
2RY011019,2RY011019,2RY011019,2RY011019,2RY011019
2RY011020,2RY011020,2RY011020,2RY011020,2RY011020
2RY011021,,,2RY011021,
2RY012001,2RY012001,2RY012001,2RY012001,2RY012001
